,complaint_type,text,labels
2335,SEWER,snatch catchment basin clogged flooding,20
2001,NOISE,Sound equipment,15
254,FOOD ESTABLISHMENT,plumbing,9
3,PLUMBING,water leaks,17
2132,TREE,cedar tree leaning proudly uprooted,23
194,CONSTRUCTION,failure maintain,1
748,CONSUMER COMPLAINT,locksmith,3
989,CONSTRUCTION SAFETY ENFORCEMENT,best low cost hotel complaint,2
2615,DCA / DOH NEW LICENSE APPLICATION REQUEST,full terminus peregrine food vendor license,4
1875,DOF PROPERTY - PAYMENT ISSUE,payment game,6
1248,HIGHWAY CONDITION,highway graffiti,11
296,DOF PROPERTY - REDUCTION ISSUE,homestead,7
1572,WATER CONSERVATION,water retention meter broken leaking,25
2234,DOF PROPERTY - REDUCTION ISSUE,special commercial exemption,7
2113,TREE,Hit power lines,23
1338,ILLEGAL PARKING,parking permit improper site use,13
689,DOF PROPERTY - PAYMENT ISSUE,wrong amount paid withdrawn,6
102,CONSTRUCTION,sidewalk shed pipe scafford inadequate defective none,1
651,CONSUMER COMPLAINT,inaccurate meter,3
1654,OTHER,vermin,16
1361,ILLEGAL PARKING,Double parked blocking vehicle,13
828,DCA / DOH NEW LICENSE APPLICATION REQUEST,permanent amusement device license,4
1191,VIOLATION OF PARK RULES,removing bloom plants,24
320,FOOD ESTABLISHMENT,handwashing,9
1977,SANITATION,Loose garbage,18
874,HPD LITERATURE REQUEST,abcs housing arabic,12
425,PLUMBING,boiler,17
2025,NOISE,Noise private kart noise,15
786,CONSUMER COMPLAINT,newsstand,3
1104,ELECTRICAL,Switch outlet,8
2654,CONSUMER COMPLAINT,unlicensed,3
1926,SANITATION,dirty beet green,18
2619,DCA / DOH NEW LICENSE APPLICATION REQUEST,home improvement library public,4
1628,WATER CONSERVATION,ned wasting de faucetssinksflushometerurinaletc,25
535,PLUMBING,remove hydrant locking device,17
2133,TREE,tree whose canopy,23
496,CONSUMER COMPLAINT,car available,3
1310,ILLEGAL PARKING,posted permit violation,13
2475,HPD LITERATURE REQUEST,yin lama housing school,12
1803,HAZARDOUS MATERIALS,outdoor,10
138,CONSTRUCTION,vent exhaust illegal improper,1
1481,SCRIE,Recertification scripts,19
1595,WATER CONSERVATION,oil leak serious,25
239,TRAFFIC,messenger,22
1443,DOF PARKING - PAYMENT ISSUE,reflected,5
1059,ELECTRICAL,electric variety,8
469,SCRIE,rent discrepancy,19
343,HAZARDOUS MATERIALS,unsafe chemical abandoned,10
1855,DOF PROPERTY - PAYMENT ISSUE,payment show,6
1499,SCRIE,update tenant record,19
2148,AIR QUALITY,chemical vapors include gases toxic odors,0
1721,OTHER,Cabinet,16
1810,HAZARDOUS MATERIALS,potential natural gas leak source dep internal use,10
929,MAINTENANCE OR FACILITY,Unsecured facility,14
955,MAINTENANCE OR FACILITY,structure,14
2464,HPD LITERATURE REQUEST,landlord tenant brochure disputes english,12
904,PLUMBING,caps chains missing fire dept use,17
2235,DOF PROPERTY - REDUCTION ISSUE,commercial mix,7
1049,CONSTRUCTION SAFETY ENFORCEMENT,The best dm tracking complaint,2
1940,SANITATION,case law,18
808,HAZARDOUS MATERIALS,natural gas leak dep internal use,10
1326,ILLEGAL PARKING,blocked family photo,13
506,VIOLATION OF PARK RULES,unsafe use playground,24
1102,ELECTRICAL,outlet catalog,8
38,TREE,whole block,23
2440,FOOD ESTABLISHMENT,Animal pet,9
474,TRAFFIC,underground,22
265,SEWER,manhole sunken damaged raised,20
880,TRAFFIC,coax cable,22
2078,TREE,whole vocabulary,23
1702,OTHER,janitor,16
1600,WATER CONSERVATION,Leak rooftank overflow,25
1819,DOF PROPERTY - PAYMENT ISSUE,issue,6
2144,TREE,Address one,23
1725,OTHER,bell textile factory,16
1367,ILLEGAL PARKING,wildcat bus layover,13
2284,DOF PROPERTY - REDUCTION ISSUE,personal exemption dhe parental exemption,7
251,PLUMBING,gas hook piping illegal defective,17
1733,HAZARDOUS MATERIALS,yusuf hussain,10
274,CONSTRUCTION,accident construction plumbing,1
2064,NOISE,Honking horn requested sign,15
1714,OTHER,cabinet,16
1062,ELECTRICAL,electric cars,8
2607,PLUMBING,basin sinkhole,17
864,CONSUMER COMPLAINT,satisfaction provider,3
1325,ILLEGAL PARKING,blocked toilet lane,13
669,DOF PARKING - PAYMENT ISSUE,marshal reflected,5
2043,NOISE,noise sources,15
2386,FOOD ESTABLISHMENT,bare hands contact w w food,9
1809,HAZARDOUS MATERIALS,Lead open,10
724,DCA / DOH NEW LICENSE APPLICATION REQUEST,auction house license,4
1792,HAZARDOUS MATERIALS,unsafe storage chemical,10
2468,HPD LITERATURE REQUEST,homefirst payment disclosure information,12
204,DCA / DOH NEW LICENSE APPLICATION REQUEST,food service establishment license,4
1557,WATER CONSERVATION,phoenix free media foundation,25
2442,FOOD ESTABLISHMENT,toilet locker facility,9
1336,ILLEGAL PARKING,Hydrant blocked,13
1919,SANITATION,dead brute,18
2231,DOF PROPERTY - REDUCTION ISSUE,personal sche exemption,7
1411,DOF PARKING - PAYMENT ISSUE,card charged,5
2076,TREE,whole block,23
1212,VIOLATION OF PARK RULES,designated bbq prohibited outside authorized area,24
524,CONSTRUCTION SAFETY ENFORCEMENT,csc full demo tracking,2
1080,ELECTRICAL,lighting,8
1203,VIOLATION OF PARK RULES,unauthorized warning signs,24
227,HAZARDOUS MATERIALS,chemical odor,10
1877,DOF PROPERTY - PAYMENT ISSUE,posted,6
225,FOOD ESTABLISHMENT,pet animal,9
2294,DOF PROPERTY - REDUCTION ISSUE,condo operate,7
1274,HIGHWAY CONDITION,loose plate,11
40,PLUMBING,hydrant running full,17
2324,SEWER,manhole cover mechanism missing,20
1973,SANITATION,common rubbish,18
803,CONSUMER COMPLAINT,street fair vendor,3
1093,ELECTRICAL,electrical wires defective wires,8
1187,VIOLATION OF PARK RULES,flowers plants,24
1783,HAZARDOUS MATERIALS,crude oil spill street large,10
2498,HPD LITERATURE REQUEST,home team ownership kit,12
1732,HAZARDOUS MATERIALS,hazmat marriage problem,10
335,STREET CONDITION,sidewalk staircase,21
60,STREET CONDITION,street light,21
464,STREET CONDITION,new con ed service request,21
2164,AIR QUALITY,air conditioning odor infrared fumes vehicle brakes idling,0
1884,DOF PROPERTY - PAYMENT ISSUE,bill paxton received error,6
2538,CONSTRUCTION,paper mold,1
1425,DOF PARKING - PAYMENT ISSUE,Card issued dof confirmation number,5
1731,HAZARDOUS MATERIALS,caroline records,10
1880,DOF PROPERTY - PAYMENT ISSUE,Posted payment,6
1589,WATER CONSERVATION,aurora sun hydrant,25
73,CONSTRUCTION,cabinets,1
577,DCA / DOH NEW LICENSE APPLICATION REQUEST,frozen dessert manufacturer license,4
1162,VIOLATION OF PARK RULES,unlicensed sex vendors,24
1282,HIGHWAY CONDITION,large concrete barrier,11
1599,WATER CONSERVATION,rooftank leak overflow,25
1879,DOF PROPERTY - PAYMENT ISSUE,requital posted,6
1718,OTHER,cabinet,16
2190,AIR QUALITY,ventilation,0
1885,DOF PROPERTY - PAYMENT ISSUE,bill received,6
2019,NOISE,noise carting,15
1488,SCRIE,scrie problem application,19
520,CONSUMER COMPLAINT,id requirement posted,3
746,CONSUMER COMPLAINT,injury safety,3
1934,SANITATION,dirty jokes,18
1249,HIGHWAY CONDITION,Graffiti highway,11
1920,SANITATION,Animals dead,18
1148,VIOLATION OF PARK RULES,use newly specially seeded west lawn,24
2355,SEWER,street violence depression,20
2551,CONSTRUCTION,flooring,1
301,NOISE,horn honking sign requested,15
471,CONSTRUCTION SAFETY ENFORCEMENT,csc scaffolding,2
1798,HAZARDOUS MATERIALS,oil street markers,10
1231,HIGHWAY CONDITION,pothole highway,11
907,MAINTENANCE OR FACILITY,general litter,14
1859,DOF PROPERTY - PAYMENT ISSUE,civil charge,6
1948,SANITATION,street bottom cond trash dump drop,18
1114,ELECTRICAL,emergency power outage,8
652,TRAFFIC,conduit,22
1704,OTHER,Super janitor,16
2569,CONSTRUCTION,Fire safety,1
